ProblemName,Seed,T_Default,T_VIA,T_VILCP,T_Achterberg2013,T_VILCP',T_All,N_Default,N_VIA,N_VILCP,N_Achterberg2013,N_VILCP',N_All,T_presolve_VIA,T_presolve_VILCP,Rows_Default,Rows_VIA,Rows_VILCP,Rows_Achterberg2013,Rows_VILCP',Rows_All,Cols_Default,Cols_VIA,Cols_VILCP,Cols_Achterberg2013,Cols_VILCP',Cols_All,Nnz_Default,Nnz_VIA,Nnz_VILCP,Nnz_Achterberg2013,Nnz_VILCP',Nnz_All
satellites2-60-fs,2,734.03,724.73,1094.94,746.26,737.23,1085.92,435,435,637,435,435,637,0.88,3.56,12854,12854,12854,12854,12854,12854,31725,31725,31725,31725,31725,31725,112497,112497,112497,112497,112497,112497
satellites2-60-fs,3,401.41,408.51,761.45,406.68,407.35,753.34,101,101,521,101,101,521,1.46,3.63,12854,12854,12854,12854,12854,12854,31725,31725,31725,31725,31725,31725,112497,112497,112497,112497,112497,112497
satellites2-60-fs,4,659.23,661.45,778.27,676.90,670.77,772.98,392,392,348,392,392,348,0.76,3.84,12854,12854,12854,12854,12854,12854,31725,31725,31725,31725,31725,31725,112497,112497,112497,112497,112497,112497
satellites2-60-fs,5,354.41,354.94,474.13,358.79,416.78,479.49,87,87,235,87,87,235,0.80,3.50,12854,12854,12854,12854,12854,12854,31725,31725,31725,31725,31725,31725,112497,112497,112497,112497,112497,112497
savsched1,1,7200.07,7039.58,7200.08,7200.07,7200.07,7200.07,0,1,0,0,0,0,0.70,1.63,133962,132349,133962,133962,133962,132349,309693,309693,309693,309693,309693,309693,1424929,1418582,1424929,1424929,1424929,1418582
savsched1,2,7200.07,6482.15,7200.08,7200.08,7211.90,6382.99,0,1,0,0,0,1,0.75,1.63,133962,132349,133962,133962,133962,132349,309693,309693,309693,309693,309693,309693,1424929,1418582,1424929,1424929,1424929,1418582
savsched1,3,7201.75,7200.37,7200.24,7200.39,7200.57,7200.57,0,0,0,0,0,0,0.77,0.82,133962,132349,133962,133962,133962,132349,309693,309693,309693,309693,309693,309693,1424929,1418582,1424929,1424929,1424929,1418582
savsched1,4,7200.06,7200.07,7200.08,7200.15,7200.07,7200.36,0,0,0,0,0,0,0.74,1.64,133962,132349,133962,133962,133962,132349,309693,309693,309693,309693,309693,309693,1424929,1418582,1424929,1424929,1424929,1418582
savsched1,5,7201.10,7200.06,7200.07,7200.52,7201.76,7200.07,0,0,0,0,0,0,0.73,1.58,133962,132349,133962,133962,133962,132349,309693,309693,309693,309693,309693,309693,1424929,1418582,1424929,1424929,1424929,1418582
sct2,1,319.23,315.60,501.11,319.19,314.86,500.49,15384,15384,31912,15384,15384,31912,0.01,0.04,1603,1603,1603,1603,1603,1603,3606,3606,3606,3606,3606,3606,18826,18826,18826,18826,18826,18826
sct2,2,449.59,447.24,203.09,451.52,451.21,205.56,19865,19865,9738,19865,19865,9738,0.03,0.03,1603,1603,1603,1603,1603,1603,3606,3606,3606,3606,3606,3606,18826,18826,18826,18826,18826,18826
sct2,3,383.83,389.35,573.00,387.29,386.06,577.82,21101,21101,49845,21101,21101,49845,0.02,0.06,1603,1603,1603,1603,1603,1603,3606,3606,3606,3606,3606,3606,18826,18826,18826,18826,18826,18826
